Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,211.605316,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,211.809433,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,206.317352,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,212.188538,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,213.481339,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,211.410889,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,208.922455,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,210.293015,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,207.065842,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,206.706161,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,210.390213,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,218.069443,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,218.681824,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,219.634430,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,223.114349,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,225.836075,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,226.390152,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,232.251617,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,225.476456,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,232.951508,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,232.815384,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,236.207855,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,235.245483,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,235.430237,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,235.692673,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,236.956345,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,236.032898,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,237.656235,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,238.142227,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,236.888275,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,237.921005,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,237.521561,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,234.774078,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,228.480179,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,227.272064,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,228.519165,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,223.102142,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,226.404984,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,230.847687,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,227.856644,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,221.708893,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,220.900238,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,225.645004,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,221.543243,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,227.768951,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,226.443909,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,231.032837,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,229.688324,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,228.772461,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,231.597900,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,230.945129,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,224.787628,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,224.427139,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,229.922104,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,231.471222,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,229.405731,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,226.365982,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,230.399536,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,229.191422,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,225.888611,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,229.707825,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,236.118607,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,242.665817,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,241.486938,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,243.474472,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,246.738358,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,249.271515,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,249.329956,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,251.843597,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,249.018158,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,252.827652,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,254.035721,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,252.087173,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,251.619537,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,253.879852,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,250.557541,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,254.435165,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,254.824905,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,255.234161,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,248.014648,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,246.017334,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,245.695816,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,245.384064,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,241.418732,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,240.132645,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,243.308838,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,245.968643,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,240.824387,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,239.898849,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,232.854736,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,236.781113,29624300
2021-05-14,245.580002,249.179993,245.490005,248.149994,241.769455,23901100
2021-05-17,246.550003,246.589996,243.520004,245.179993,238.875839,24970200
2021-05-18,246.270004,246.410004,242.899994,243.080002,236.829819,20168000
2021-05-19,239.309998,243.229996,238.600006,243.119995,237.415741,25739800
2021-05-20,243.960007,247.949997,243.860001,246.479996,240.696915,21800700
2021-05-21,247.570007,248.330002,244.740005,245.169998,239.417648,21863100
2021-05-24,247.789993,251.160004,247.509995,250.779999,244.896027,21411500
2021-05-25,251.770004,252.750000,250.820007,251.720001,245.813980,17704300
2021-05-26,251.429993,252.940002,250.750000,251.490005,245.589355,17771600
2021-05-27,251.169998,251.479996,249.250000,249.309998,243.460510,24426200
2021-05-28,251.000000,252.080002,249.559998,249.679993,243.821854,18270200
2021-06-01,251.229996,251.289993,246.960007,247.399994,241.595352,23213300
2021-06-02,248.130005,249.270004,245.839996,247.300003,241.497681,19406700
2021-06-03,245.220001,246.339996,243.000000,245.710007,239.944992,25307700
2021-06-04,247.759995,251.649994,247.509995,250.789993,244.905792,25281100
2021-06-07,249.979996,254.089996,249.809998,253.809998,247.854950,23079200
2021-06-08,255.160004,256.010010,252.509995,252.570007,246.644028,22455000
2021-06-09,253.809998,255.529999,253.210007,253.589996,247.640091,17937600
2021-06-10,254.289993,257.459991,253.669998,257.239990,251.204453,24563600
2021-06-11,257.989990,258.489990,256.609985,257.890015,251.839218,18999700
2021-06-14,257.899994,259.950012,256.799988,259.890015,253.792313,19150500
2021-06-15,259.769989,259.989990,257.679993,258.359985,252.298187,18038900
2021-06-16,259.399994,260.579987,254.419998,257.380005,251.341156,27220000
2021-06-17,256.070007,261.750000,256.010010,260.899994,254.778595,27565500
2021-06-18,259.630005,262.299988,258.750000,259.429993,253.343094,37202200
2021-06-21,259.820007,263.519989,257.920013,262.630005,256.467987,26696100
2021-06-22,262.720001,265.790009,262.399994,265.510010,259.280457,24694100
2021-06-23,265.989990,266.829987,264.429993,265.269989,259.046051,19518700
2021-06-24,266.160004,267.850006,265.470001,266.690002,260.432678,21446900
2021-06-25,266.230011,267.250000,264.760010,265.019989,258.801971,25611100
